,Name,Native,nonnative,Fresh,salt
0,African jewelfish,empty,check,check,empty
1,African pompano,check,empty,empty,check
2,Alewife,empty,check,check,check
3,Alligator gar,check,empty,check,empty
4,Almaco jack,check,empty,empty,check
5,Amazon sailfin catfish,empty,check,check,empty
6,Amberjack,check,empty,empty,check
7,American butterfish,check,empty,empty,check
8,American conger,check,empty,empty,check
9,American Eel,check,empty,check,check
10,American gizzard shad,check,empty,check,check
11,American pickerel,check,empty,check,check
12,American shad,check,empty,empty,check
13,Amur carp,empty,check,check,empty
14,Arabian angelfish,empty,check,empty,check
15,Asian carp,empty,check,check,empty
16,Asian swamp eel,empty,check,check,empty
17,Atlantic angel shark,check,empty,empty,check
18,Atlantic bluefin tuna,check,empty,empty,check
19,Atlantic bonito,check,empty,empty,check
20,Atlantic bumper,check,empty,empty,check
21,Atlantic croaker,check,empty,empty,check
22,Atlantic flyingfish,check,empty,empty,check
23,Atlantic goliath grouper,check,empty,empty,check
24,Atlantic menhaden,check,empty,empty,check
25,Atlantic moonfish,check,empty,empty,check
26,Atlantic needlefish,check,empty,check,check
27,Atlantic sailfish,check,empty,empty,check
28,Atlantic salmon,check,empty,empty,check
29,Atlantic sharpnose shark,check,empty,empty,check
30,Atlantic silverside,check,empty,empty,check
31,Atlantic sixgill shark,check,empty,empty,check
32,Atlantic spadefish,check,empty,empty,check
33,Atlantic spanish mackerel,check,empty,empty,check
34,Atlantic stingray,check,empty,check,check
35,Atlantic sturgeon,check,empty,empty,check
36,Atlantic tarpon,check,empty,check,check
37,Atlantic thread herring,check,empty,empty,check
38,Atlantic torpedo,check,empty,empty,check
39,Atlantic tripletail,check,empty,empty,check
40,Balloonfish,check,empty,empty,check
41,Ballyhoo,check,empty,empty,check
42,Banded butterflyfish,check,empty,empty,check
43,Banded cichlid,empty,check,check,empty
44,Banded leporinus,empty,check,check,empty
45,Bandtail puffer,check,empty,empty,check
46,Bandtail searobin,check,empty,empty,check
47,Bank butterflyfish,check,empty,empty,check
48,Bar jack,check,empty,empty,check
49,Barbfish,check,empty,empty,check
50,Barred hamlet,check,empty,empty,check
51,Barred sorubim,empty,check,check,empty
52,Basking shark,check,empty,empty,check
53,Bay anchovy,check,empty,empty,check
54,Bearded brotula,check,empty,empty,check
55,Beaugregory,check,empty,empty,check
56,Belted sandfish,check,empty,empty,check
57,Bermuda blue angelfish,check,empty,empty,check
58,Bermuda chub,check,empty,empty,check
59,Bicolor damselfish,check,empty,empty,check
60,Bicolour parrotfish,empty,check,empty,check
61,Bigeye sand tiger,check,empty,empty,check
62,Bigeye scad,check,empty,empty,check
63,Bigeye thresher,check,empty,empty,check
64,Bigeye tuna,check,empty,empty,check
65,Bigeye,check,empty,empty,check
66,Bighead carp,empty,check,check,empty
67,Bigmouth sleeper,check,empty,empty,check
68,Bignose shark,check,empty,empty,check
69,Black Acara,empty,check,check,empty
70,Black arowana,empty,check,check,empty
71,Black carp,empty,check,check,empty
72,Black crappie,check,empty,check,empty
73,Black drum,check,empty,empty,check
74,Black durgon,check,empty,empty,check
75,Black grouper,check,empty,empty,check
76,Black jack,check,empty,empty,check
77,Black margate,check,empty,empty,check
78,Black marlin,check,empty,empty,check
79,Black seabass,check,empty,empty,check
80,Blackbar soldierfish,check,empty,empty,check
81,Blackcheek tonguefish,check,empty,empty,check
82,Blackchin tilapia,empty,check,check,empty
83,Black-ear wrasse,check,empty,empty,check
84,Blackedge moray eel,check,empty,empty,check
85,Blackfin cardinalfish,check,empty,empty,check
86,Blackfin snapper,check,empty,empty,check
87,Blackfin tuna,check,empty,empty,check
88,Blacknose shark,check,empty,empty,check
89,Blacktail moray eel,check,empty,empty,check
90,Blacktail redhorse,check,empty,check,empty
91,Blacktip shark,check,empty,empty,check
92,Blood parrot cichlid,empty,check,check,empty
93,blood-red jewel cichlid,empty,check,check,empty
94,Blue angelfish,check,empty,empty,check
95,Blue catfish,check,check,check,empty
96,Blue chromis,check,empty,empty,check
97,Blue hamlet,check,empty,empty,check
98,Blue marlin,check,empty,empty,check
99,Blue parrotfish,check,empty,empty,check
100,Blue runner,check,empty,empty,check
101,Blue shark,check,empty,empty,check
102,Blue striped grunt,check,empty,empty,check
103,Blue surgeonfish,empty,check,empty,check
104,Blue tang,check,empty,empty,check
105,Blue tilapia,empty,check,check,empty
106,Bluefin killifish,check,empty,check,empty
107,Bluefish,check,empty,empty,check
108,Bluegill,check,empty,check,empty
109,Bluehead wrasse,check,empty,empty,check
110,Bluelip parrotfish,check,empty,empty,check
111,Bluespotted cornetfish,check,empty,empty,check
